Recording name: files/no_noise/FUNcube-1_39444_201808311030, Start record [UTC]: 2018-08-31 08:30:01.350065+00:00, End record [UTC]: 2018-08-31 08:45:04.863496+00:00, TCA [s after start of recording]: 441.5, FCA [Hz]: 146005054.5
Time after start of recording [s], Left Signal Frequency [Hz], Left Signal Power [dB], Center Frequency [Hz], Right Signal Frequency [Hz], Right Signal Power [dB]
37.0, 146001169, -58.30412945009655, 146001770.0, 146002371, -58.30068566039104
47.0, 146001181, -53.622090934382, 146001781.5, 146002382, -54.12092862480469
52.0, 146001181, -52.00728168940649, 146001781.5, 146002382, -51.94771773637325
62.0, 146001192, -51.33778461137318, 146001793.0, 146002394, -52.46362174081523
67.0, 146001200, -53.20875567064111, 146001801.0, 146002402, -53.412002148181145
77.0, 146001215, -52.546421884342124, 146001816.0, 146002417, -52.51390910371565
87.0, 146001230, -54.10295639360686, 146001831.0, 146002432, -53.65084515468108
92.0, 146001238, -52.21807135254504, 146001839.0, 146002440, -52.392176628139836
102.0, 146001250, -52.167534084926224, 146001850.5, 146002451, -51.1986614072292
107.0, 146001257, -53.37916511403798, 146001858.0, 146002459, -53.650914792750456
117.0, 146001276, -50.737115687925424, 146001877.0, 146002478, -50.5827273057089
127.0, 146001295, -54.87256699601477, 146001896.0, 146002497, -55.525364346109114
132.0, 146001299, -52.4614449462821, 146001900.0, 146002501, -53.1819336635942
142.0, 146001322, -51.581653146168264, 146001923.0, 146002524, -52.23917346781547
147.0, 146001333, -53.01690005501149, 146001934.0, 146002535, -53.58640566627222
157.0, 146001360, -51.965424578845145, 146001961.0, 146002562, -51.1832247106412
167.0, 146001387, -54.15294805678818, 146001987.5, 146002588, -54.31006666188948
172.0, 146001402, -51.10881726204784, 146002003.0, 146002604, -51.194292200543494
182.0, 146001433, -52.33163383277095, 146002033.5, 146002634, -53.13313817294397
187.0, 146001448, -52.566018823189765, 146002050.5, 146002653, -53.09898254278842
197.0, 146001482, -51.19797089533012, 146002085.0, 146002688, -51.873706477095844
211.5, 146001539, -53.75531165580611, 146002142.0, 146002745, -53.508894368323894
212.0, 146001543, -50.30807572857127, 146002144.0, 146002745, -50.77641699925637
222.0, 146001581, -54.3004803768231, 146002182.0, 146002783, -53.63012778160482
226.5, 146001612, -53.06760416553015, 146002213.0, 146002814, -52.61354108597571
227.0, 146001612, -51.97806980634339, 146002213.0, 146002814, -52.83476415829138
237.0, 146001654, -51.945025868986974, 146002254.5, 146002855, -51.98029316403697
242.0, 146001681, -53.68787782050448, 146002281.5, 146002882, -53.642440121333564
252.0, 146001738, -54.06304572333231, 146002338.5, 146002939, -53.961031606462875
256.5, 146001764, -55.68576274872625, 146002365.0, 146002966, -56.675356620977276
266.5, 146001829, -54.23392917255355, 146002430.0, 146003031, -55.36874433221361
276.5, 146001902, -54.57931270813625, 146002502.5, 146003103, -54.941791573566775
281.5, 146001940, -52.32382914204582, 146002541.0, 146003142, -53.39331093122661
291.5, 146002024, -56.333470819353295, 146002625.0, 146003226, -56.09161675334587
301.5, 146002112, -56.403170070463304, 146002714.5, 146003317, -55.85575999920018
306.5, 146002161, -50.022949861655086, 146002762.0, 146003363, -51.21037340454465
311.5, 146002215, -55.349896344188714, 146002815.5, 146003416, -54.954371309239754
321.5, 146002321, -53.81571284085628, 146002924.0, 146003527, -54.52545361565229
331.5, 146002440, -54.50223203918619, 146003042.5, 146003645, -55.908603770106836
336.5, 146002505, -53.674592478837695, 146003105.5, 146003706, -52.8262397228077
341.5, 146002569, -54.85724827340752, 146003170.0, 146003771, -54.84351865694764
356.5, 146002783, -58.44885121076938, 146003385.5, 146003988, -58.977576392892146
366.5, 146002943, -55.45714379571156, 146003546.0, 146004149, -55.84854071459706
371.5, 146003027, -54.526400318598206, 146003630.0, 146004233, -54.616969241044714
381.5, 146003203, -54.847206262592266, 146003805.5, 146004408, -53.78446390907384
386.5, 146003298, -52.69680551031524, 146003899.0, 146004500, -52.561853300511665
396.5, 146003489, -52.33961804868743, 146004091.5, 146004694, -53.53552047918349
401.5, 146003592, -53.0850711839643, 146004192.5, 146004793, -52.21865425977954
411.5, 146003798, -50.120088241598154, 146004398.5, 146004999, -50.69684378223614
421.5, 146004011, -52.78238091692954, 146004614.0, 146005217, -52.46869810269736
426.5, 146004122, -49.26929999722981, 146004723.0, 146005324, -49.93106889120426
436.5, 146004343, -50.34038471182824, 146004944.0, 146005545, -50.85257352775024
441.5, 146004454, -50.669464959541685, 146005054.5, 146005655, -51.724548556384605
451.5, 146004679, -49.920717935792396, 146005280.0, 146005881, -49.19978640370783
456.5, 146004790, -51.97891646323661, 146005390.5, 146005991, -50.849706592101604
466.5, 146005007, -48.52365068388512, 146005608.0, 146006209, -48.62751419170311
471.5, 146005114, -50.029158253429316, 146005714.5, 146006315, -50.56115044087711
481.5, 146005324, -48.2870688213673, 146005924.5, 146006525, -48.1949329482898
491.5, 146005522, -52.90044394300039, 146006124.5, 146006727, -51.70405975181508
496.5, 146005621, -51.12219575309018, 146006222.0, 146006823, -50.68518479383735
506.5, 146005804, -50.9811118700586, 146006405.0, 146007006, -51.491977363742805
511.5, 146005892, -50.204978539719576, 146006493.0, 146007094, -50.969985534684426
521.5, 146006060, -54.359499846990566, 146006660.5, 146007261, -54.288963086976665
526.0, 146006132, -51.66868890185227, 146006733.0, 146007334, -51.480146992454436
536.0, 146006281, -50.720643996854676, 146006882.0, 146007483, -50.47606803639907
536.5, 146006285, -49.927506336776524, 146006887.5, 146007490, -50.38767533647232
541.5, 146006357, -52.16769654969892, 146006958.0, 146007559, -52.0574444127152
551.0, 146006483, -50.284890856968964, 146007084.0, 146007685, -50.94709203795861
551.5, 146006487, -52.42631820061848, 146007090.0, 146007693, -51.742640775087416
561.0, 146006605, -53.044994962712835, 146007206.0, 146007807, -53.41724229065399
566.0, 146006663, -51.6842567699303, 146007263.5, 146007864, -51.556531498867486
566.5, 146006666, -51.76014363269004, 146007267.0, 146007868, -52.40451919584308
576.0, 146006769, -53.30937649809796, 146007370.0, 146007971, -52.880929809598015
581.0, 146006815, -53.12325737588664, 146007418.0, 146008021, -52.301114420296315
591.0, 146006911, -53.70856754418122, 146007511.5, 146008112, -53.40503570174552
596.0, 146006952, -54.84557231502892, 146007553.0, 146008154, -55.17228112872685
606.0, 146007033, -54.87712068444245, 146007633.5, 146008234, -55.11250930314588
616.0, 146007105, -59.50244141931436, 146007706.0, 146008307, -59.30365585816893
621.0, 146007139, -56.90720157301301, 146007740.0, 146008341, -57.18367552839269
631.0, 146007204, -57.30987269190017, 146007805.0, 146008406, -56.00915795161139
646.0, 146007288, -56.03920226676399, 146007889.0, 146008490, -55.61102581955637
651.0, 146007311, -55.40086162874581, 146007913.5, 146008516, -55.098866474983794
656.0, 146007338, -56.37090491148048, 146007938.5, 146008539, -55.82798159713871
666.0, 146007384, -56.26528241714227, 146007984.5, 146008585, -55.8057990125227
671.0, 146007403, -57.129071887373996, 146008003.5, 146008604, -58.075018234565846
681.0, 146007445, -53.10177829573683, 146008045.5, 146008646, -52.89506573248141
686.0, 146007464, -55.40247478765458, 146008064.5, 146008665, -55.15644560127161
696.0, 146007498, -53.13507779652103, 146008100.5, 146008703, -54.37411745170377
706.0, 146007532, -53.25336675013482, 146008133.0, 146008734, -53.1437307306982
711.0, 146007548, -53.031745748507966, 146008148.5, 146008749, -52.6961505244875
721.0, 146007574, -53.34584873578815, 146008175.0, 146008776, -54.530574675204875
726.0, 146007590, -51.397331856984906, 146008190.5, 146008791, -50.86970716049195
736.0, 146007616, -51.91995428767033, 146008217.0, 146008818, -51.26816063408461
741.0, 146007628, -55.96302952328162, 146008228.5, 146008829, -56.172017040374776
751.0, 146007651, -52.78112949753708, 146008251.5, 146008852, -52.48035980589072
766.0, 146007681, -53.13133619522483, 146008282.0, 146008883, -52.87161631554994
776.0, 146007700, -54.767807401823234, 146008301.0, 146008902, -54.24904739540292
781.0, 146007708, -54.71567007195068, 146008308.5, 146008909, -55.13405256959844
791.0, 146007727, -54.28320809808759, 146008327.5, 146008928, -53.586301093569055
796.0, 146007734, -55.24718012611458, 146008335.0, 146008936, -54.51709704329267
806.0, 146007746, -55.43876327680956, 146008347.0, 146008948, -56.414070107744095
811.0, 146007754, -56.52963266032007, 146008354.5, 146008955, -56.647302128205325
821.0, 146007769, -54.803258628683444, 146008369.5, 146008970, -54.017968762855574
831.0, 146007780, -57.54225775970056, 146008381.0, 146008982, -56.7175132691377
856.5, 146007605, -63.091166433831546, 146008268.5, 146008932, -62.061152060764684
900.0, 146007574, -64.89654873838384, 146008266.5, 146008959, -63.55692506620252
900.5, 146007452, -inf, 146008051.0, 146008650, -inf
901.0, 146007452, -inf, 146008051.0, 146008650, -inf
901.5, 146007452, -inf, 146008051.0, 146008650, -inf
902.0, 146007452, -inf, 146008053.0, 146008654, -inf
902.5, 146007452, -inf, 146008053.0, 146008654, -inf
903.0, 146007452, -inf, 146008053.0, 146008654, -inf
903.5, 146007452, -inf, 146008053.0, 146008654, -inf
